Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,MB,Bus,PT,182,0.73,,0.08,,114.14,,13,,8.76,,2.05,,5256783,,63462415,,7247926,,555983,,31025429,,6782440,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,MB,Bus,DO,1779,2.54,,0.24,,208.69,,19,,10.73,,1.38,,242952995,,1024749663,,95497204,,4910288,,744881335,,74356213,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,YR,Hybrid Rail,PT,16,0.60,,0.03,,768.74,,38,,20.36,,1.39,,1032848,,34862160,,1712082,,45350,,25017387,,1156597,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,LR,Light Rail,DO,15,0.97,,0.12,,514.98,,65,,7.91,,3.21,,3378232,,27591728,,3489489,,53578,,8601408,,520531,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,2807,HR,Heavy Rail,DO,998,2.12,,0.13,,530.82,,33,,16.06,,3.02,,161575682,,1221960685,,76077714,,2302036,,404715396,,53126512,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,2807,DR,Demand Response,PT,662,3.37,,0.03,,91.22,,1,,116.60,,11.13,,4401849,,152419955,,1307178,,1670819,,13699189,,19251997,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,2807,MB,Bus,PT,51,1.37,W,0.16,,124.85,,14,W,8.81,W,1.22,W,1016066,,6541012,,742254,W,52392,,5346180,W,776257,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD",5174759,2807,MB,Bus,DO,1096,0.59,,0.06,,236.87,,22,,10.65,,3.41,,46538951,,839216279,,78770385,,3542918,,246277197,,35554946,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,DR,Demand Response,DO,70,0.00,,0.00,,136.30,,3,,49.82,,15.77,,0,,25063500,,503122,,183886,,1589750,,2241318,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,VP,Vanpool,PT,673,7.86,,0.95,,24.90,,3,,8.25,,0.18,,9148488,,9610858,,1164264,,386015,,54595971,,15125447,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,HR,Heavy Rail,DO,64,0.29,,0.04,,610.78,,87,,6.99,,1.37,,7154300,,175274410,,25075130,,286966,,128143989,,6100816,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,RB,Bus Rapid Transit,DO,24,0.29,,0.04,,346.65,,43,,8.09,,1.33,,1112985,,31066707,,3838674,,89621,,23321189,,1380560,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,LR,Light Rail,DO,148,0.28,,0.02,,621.46,,46,,13.40,,2.24,,8731769,,410761191,,30660760,,660958,,183686405,,13476172,
Port of Administration Authority,Pago Pago,AS,91004,State Government Unit or Department of Transportation,Rural Reporter,2022,,,,2,FB,Ferryboat,DO,2,27.31,,0.07,,1999.05,,5,,383.81,,0.00,,67575,,949550,,2474,,475,,0,,3910,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,MB,Bus,DO,1421,0.25,,0.04,,196.86,,33,,5.95,,1.92,,46014187,,1092836712,,183539085,,5551201,,568184711,,57210088,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2509,MB,Bus,PT,109,0.12,,0.02,,121.96,,21,,5.73,,1.48,,1182863,,56751812,,9907089,,465323,,38370680,,5419931,
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,2180,HR,Heavy Rail,DO,906,1.32,,0.22,,166.64,,28,,6.02,,1.01,,137120529,,623607857,,103524858,,3742178,,615259223,,66984263,
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN",8671746,2180,MB,Bus,DO,1274,1.12,,0.20,,160.36,,29,,5.53,,2.19,,157136558,,774665363,,140013945,,4830866,,353874432,,44199272,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,DR,Demand Response,TX,94,0.83,,0.02,,106.67,,2,,52.27,,3.59,,91601,,5791694,,110794,,54293,,1612286,,1461592,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,MB,Bus,DO,793,1.06,,0.09,,235.17,,19,,12.23,,3.09,,56566150,,654161434,,53503564,,2781612,,211617698,,29908625,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,VP,Vanpool,DO,745,7.80,,0.62,,63.29,,5,,12.68,,0.62,,5484481,,8908529,,702709,,140750,,14389243,,4413910,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,MB,Bus,PT,51,0.58,,0.02,,209.36,,6,,36.43,,9.50,,280187,,17491566,,480077,,83548,,1841319,,907697,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,DR,Demand Response,PT,217,1.33,,0.01,,134.77,,1,,98.61,,9.87,,740726,,54748982,,555210,,406246,,5546871,,4968632,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,FB,Ferryboat,DO,2,4.28,,0.19,,1521.83,,68,,22.23,,6.53,,1715265,,8899659,,400407,,5848,,1361870,,51236,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,TB,Trolleybus,DO,117,1.06,,0.12,,214.58,,24,,8.79,,4.80,,10123486,,84198937,,9575042,,392391,,17545751,,2635705,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA",3544011,2029,SR,Streetcar Rail,DO,10,0.53,,0.05,,334.99,,30,,11.20,,9.85,,588495,,12511637,,1117605,,37349,,1269696,,180369,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,MB,Bus,PT,83,0.05,Q,0.01,,185.19,Q,25,Q,7.53,Q,3.36,Q,110480,,17841007,,2369255,Q,96338,Q,5307131,Q,1154331,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,FB,Ferryboat,PT,8,7.24,,0.29,,751.27,,30,,25.09,,3.41,Q,4309134,,14935167,,595180,,19880,,4375835,Q,189037,Q
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,MB,Bus,DO,653,0.83,,0.11,,237.42,,31,,7.70,,3.05,,55129168,,514500114,,66787609,,2167073,,168662733,,20031415,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,CR,Commuter Rail,PT,416,5.64,Q,0.17,,579.64,,17,Q,33.15,Q,1.54,Q,80658731,,474347246,,14310785,Q,818346,,307334036,Q,23837624,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,DR,Demand Response,PT,372,2.92,,0.03,,140.46,,1,,107.07,,13.25,,2718009,,99595993,,930174,,709084,,7518032,,8723274,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,RB,Bus Rapid Transit,DO,37,0.81,,0.15,,247.62,,46,,5.42,,2.43,,5998846,,40324535,,7433990,,162848,,16605586,,1420562,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,HR,Heavy Rail,DO,312,1.59,,0.37,,221.40,,52,,4.23,,1.25,,125112804,,333756435,,78861897,,1507475,,266054405,,22214025,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,TB,Trolleybus,DO,13,1.18,,0.06,,648.63,Q,32,Q,20.30,,8.65,,1066929,,18370594,,905096,,28322,Q,2123790,,272820,Q
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH",4382009,2018,LR,Light Rail,DO,124,1.51,,0.24,,332.11,,52,,6.37,,2.62,Q,47061388,,199157007,,31261416,,599675,,76107994,Q,5252956,Q
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,SR,Streetcar Rail,DO,92,1.17,,0.16,,320.99,,44,,7.29,,2.87,,12249760,,76339875,,10470047,,237827,,26601998,,2026697,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,MB,Bus,PT,3,0.91,,0.04,,106.07,,4,,25.55,,3.79,,29430,,829286,,32454,,7818,,218537,,127940,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,TB,Trolleybus,DO,29,1.03,,0.21,,177.23,,36,,4.96,,2.46,,3095802,,14939677,,3011436,,84297,,6074373,,701398,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,CR,Commuter Rail,DO,277,3.45,,0.18,,414.09,,22,,18.94,,1.44,,56363232,,309426507,,16340688,,747253,,214528260,,14712833,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,HR,Heavy Rail,DO,238,1.02,,0.25,,207.07,,51,,4.04,,0.97,,53638079,,212247719,,52499263,,1024991,,219803311,,15691660,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,DR,Demand Response,PT,234,3.80,,0.06,,85.64,,1,,64.84,,9.08,,2716787,,46327284,,714534,,540978,,5102281,,5709370,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD",5696125,1962,MB,Bus,DO,1089,1.11,,0.15,,178.58,,24,,7.59,,2.65,,101489746,,692241550,,91161232,,3876338,,260749719,,39188981,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,CB,Commuter Bus,PT,88,7.57,Q,0.11,,288.92,,4,Q,66.85,Q,4.04,Q,6120500,,54066235,,808736,Q,187129,,13387421,Q,5397064,Q
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,MB,Bus,DO,627,0.61,W,0.07,,218.77,,24,W,9.23,W,2.07,W,24550300,,370836050,,40168414,W,1695080,,179311207,W,19472968,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,HR,Heavy Rail,DO,42,2.54,W,0.08,,396.66,,12,W,33.74,W,9.41,,5717200,,75990294,,2252070,W,191576,,8073716,,4602773,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,DR,Demand Response,PT,398,0.70,,0.01,,128.46,Q,2,Q,77.68,,8.32,,890441,,99089809,,1275553,,771353,Q,11913199,,13365050,Q
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,LR,Light Rail,DO,17,1.16,,0.06,,260.91,,14,,18.10,,3.84,,3362800,,52551901,,2903523,,201420,,13671562,,3110550,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,DR,Demand Response,TX,150,1.13,,0.01,,336.33,,4,,89.69,,16.66,,573000,,45493349,,507211,,135263,,2730571,,2510905,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,DR,Demand Response,DO,15,1.07,,0.02,,84.17,,2,,52.66,,7.49,,20615,,1012096,,19219,,12025,,135200,,178539,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD",2212038,1486,CR,Commuter Rail,PT,149,6.09,,0.08,,1098.69,,15,,73.63,,2.47,,13842300,,167230292,,2271221,,152209,,67825402,,5780429,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,MB,Bus,PT,91,0.77,,0.08,,76.56,,8,,9.72,,2.45,W,936770,,11773302,,1211425,,153780,,4798416,W,1704443,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,CB,Commuter Bus,PT,9,0.73,,0.07,,78.81,,8,,9.99,,0.26,,221689,,3026211,,303052,,38397,,11697303,,1243592,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,HR,Heavy Rail,DO,84,1.01,,0.11,,308.49,,33,,9.35,,1.27,W,11562918,,106975348,,11446854,,346766,,84512810,W,7345940,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,MB,Bus,DO,612,1.42,,0.13,,236.92,,21,,11.12,,2.36,,51140696,,400635782,,36013697,,1690989,,169433469,,23797513,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,DR,Demand Response,PT,332,3.50,,0.09,,51.54,,1,,37.26,,2.85,,4636433,,49417564,,1326260,,958750,,17317743,,11744748,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,MG,Monorail/Automated Guideway,DO,21,0.00,,0.00,,330.12,,59,,5.59,,5.74,W,0,,30528883,,5465731,,92477,,5316592,W,943270,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL",6077522,1339,VP,Vanpool,PT,190,5.71,,1.67,,19.56,,6,,3.43,,0.11,,1987879,,1191874,,347865,,60931,,10995755,,2774589,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,RB,Bus Rapid Transit,DO,8,0.15,,0.01,,127.08,,6,,21.52,,6.62,,39498,,5487124,,254999,,43178,,829307,,352915,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,CB,Commuter Bus,PT,54,2.70,,0.23,,201.65,,17,,11.60,,0.50,,2190017,,9391160,,809848,,46572,,18843985,,1403423,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,LR,Light Rail,DO,46,0.21,,0.02,,413.58,,47,,8.81,,3.07,,2377280,,102044777,,11583177,,246735,,33205208,,2884228,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,MB,Bus,DO,450,0.49,,0.05,,173.19,,16,,10.80,,1.88,,16064934,,353945277,,32772899,,2043688,,188633815,,26366843,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,DR,Demand Response,PT,336,1.07,,0.02,,75.06,,1,,51.68,,4.98,,1542369,,74361271,,1438798,,990721,,14940524,,14469361,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,VP,Vanpool,DO,197,4.93,,0.50,,58.21,,6,,9.83,,0.32,,1961315,,3907780,,397674,,67136,,12266273,,2351354,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,MB,Bus,PT,133,0.53,,0.06,,124.80,,14,,9.05,,1.63,,4350008,,74687906,,8252915,,598453,,45840723,,7721021,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX",5853575,1328,CB,Commuter Bus,DO,104,2.80,,0.14,,278.02,,14,,19.59,,0.95,,5051286,,35392535,,1806386,,127302,,37386141,,3257278,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,1149,MB,Bus,PT,9,1.54,,0.08,,97.69,,5,,18.33,,25.16,,233948,,2781801,,151723,,28476,,110576,,132117,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,1149,FB,Ferryboat,PT,2,1.05,,0.02,,1044.22,,18,,58.49,,14.55,,73528,,4099600,,70093,,3926,,281807,,46140,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,1149,CR,Commuter Rail,DO,1138,8.22,,0.33,,660.46,,27,,24.83,,1.26,,448196125,,1353483213,,54517695,,2049308,,1070033815,,62976627,
MTA Bus Company,New York,NY,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,1134,MB,Bus,DO,1134,1.63,,0.21,,238.53,,30,,7.89,,2.74,,163430063,,792516861,,100411771,,3322535,,289073775,,25876153,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,DR,Demand Response,PT,87,0.34,,0.01,,104.12,,3,,40.06,,6.15,,123485,,14563523,,363546,,139878,,2368564,,2275173,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,LR,Light Rail,DO,81,0.99,,0.11,,283.76,,31,,9.08,,1.97,,10631656,,97480334,,10734065,,343534,,49493737,,6327140,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,MB,Bus,PT,7,0.12,,0.01,,105.34,,5,,22.90,,5.18,,10900,,2150857,,93906,,20418,,415532,,310995,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT",1178533,1063,CB,Commuter Bus,DO,66,1.06,,0.05,,254.05,,13,,20.10,,1.27,,637324,,12060444,,599919,,47473,,9516143,,1063134,
